championName,assists,baronKills,bountyLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Leblanc,9,0,1,4,4587,6095,4587,12074,5,4,0,1,False,False,False,True,False,False,12789,11600,TOP,0,1,0,24,2,8,JUNGLE,272,4,1,690,106257,15642,11637,8,0,0,1,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 3100, 'var2': 2414, 'var3': 0}, {'perk': 8009, 'var1': 2156, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 12, 'var2': 50, 'var3': 0}, {'perk': 8299, 'var1': 728, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 6151, 'var2': 0, 'var3': 0}], 'style': 8300}]}",30937,5787,10955,0,NONE,0,60,111,35,18,False,TOP,29,1601,147616,22008,0,22805,3963,0,178,137,207,1,0,10421,577,211,3,4,2,0,29,4,5,8,True
LeeSin,14,1,3,6,1037,33387,1037,38815,3,5,0,2,False,False,False,False,False,False,12525,10300,JUNGLE,0,1,0,20,3,7,JUNGLE,0,3,1,818,37557,3128,6995,150,0,0,1,1,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 269, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1295, 'var2': 420, 'var3': 0}, {'perk': 9105, 'var1': 10, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 388, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 8, 'var2': 1, 'var3': 5}], 'style': 8300}]}",118315,12505,19476,0,NONE,0,209,212,153,6,False,JUNGLE,15,1601,198176,16757,1057,27253,16360,0,14,500,68,1,0,42303,1124,781,2,5,2,0,28,5,1,15,True
Varus,7,0,1,0,6174,17214,6174,7495,6,0,0,0,False,False,False,False,False,False,10689,8750,BOTTOM,0,0,0,18,1,4,BOTTOM,272,2,1,576,76271,7216,6022,4,0,0,1,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 19, 'var2': 2, 'var3': 0}, {'perk': 9101, 'var1': 314, 'var2': 331, 'var3': 0}, {'perk': 9104, 'var1': 16, 'var2': 20, 'var3': 0}, {'perk': 8017, 'var1': 662, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",71275,7956,7972,0,SOLO,0,48,19,30,7,False,BOTTOM,17,1601,152616,15288,0,14359,1305,0,182,167,92,1,0,5068,116,363,1,4,2,0,18,0,3,9,True
Kaisa,6,0,0,2,8761,20002,8761,11100,4,1,2,0,False,False,False,False,False,False,15411,15175,MIDDLE,0,1,0,21,2,10,MIDDLE,289,5,4,1060,121152,12065,8548,4,0,0,1,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 58, 'var2': 84, 'var3': 0}, {'perk': 8139, 'var1': 779, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8304, 'var1': 9, 'var2': 4, 'var3': 5}], 'style': 8300}]}",89984,11515,6736,1,CARRY,0,69,46,104,10,False,MIDDLE,3,1601,211799,23847,0,15751,3111,0,263,62,69,1,1,662,266,466,3,6,2,0,21,1,5,10,True
Bard,18,0,0,7,1452,2644,1452,15797,5,2,0,0,False,False,False,False,False,False,9449,7900,UTILITY,1,1,0,23,1,2,MIDDLE,0,2,1,673,14392,6770,7667,0,1,0,1,0,0,"{'statPerks': {'defense': 5002, 'flex': 5003, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8465, 'var1': 1239, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 626, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 55, 'var2': 14, 'var3': 11}, {'perk': 8451, 'var1': 149, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8136, 'var1': 16, 'var2': 30, 'var3': 0}, {'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}], 'style': 8100}]}",5368,2597,7451,0,SUPPORT,0,45,43,28,9,False,UTILITY,37,1601,21400,11007,1848,16225,5207,2277,26,166,99,5,0,1639,1639,1106,1,6,2,0,93,3,12,41,True
Rumble,3,0,0,3,1805,1805,1805,16129,9,2,0,0,False,False,False,False,False,False,8487,7850,TOP,0,0,1,19,0,3,TOP,0,0,1,578,93510,12115,10258,4,0,1,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 745, 'var2': 0, 'var3': 0}, {'perk': 8275, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8233, 'var1': 16, 'var2': 20, 'var3': 0}, {'perk': 8237, 'var1': 387, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8473, 'var1': 706, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 70, 'var2': 0, 'var3': 0}], 'style': 8400}]}",10602,578,10675,0,SUPPORT,0,119,153,147,9,False,TOP,12,1601,112927,13681,0,21801,914,0,154,285,250,1,0,8813,988,867,0,0,11,0,25,2,1,6,False
Kayn,8,0,0,4,0,13633,0,18935,9,2,0,0,True,False,False,False,False,False,9764,8825,JUNGLE,0,0,1,21,0,1,JUNGLE,0,0,1,335,794,794,11441,137,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8369, 'var1': 429, 'var2': 483, 'var3': 0}, {'perk': 8304, 'var1': 7, 'var2': 3, 'var3': 0}, {'perk': 8321, 'var1': 6, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 397, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",167175,8083,20087,0,NONE,0,145,69,62,14,False,JUNGLE,5,1601,197352,9615,0,32487,13819,0,37,216,228,1,0,29383,738,957,0,0,11,0,19,3,3,9,False
Tristana,8,0,0,4,3644,9830,3644,10878,6,3,1,0,True,False,False,False,False,False,12317,10275,MIDDLE,0,0,1,21,3,6,TOP,476,2,2,568,64245,4140,9030,8,0,1,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 2111, 'var2': 1578, 'var3': 0}, {'perk': 9111, 'var1': 969, 'var2': 280, 'var3': 0}, {'perk': 9104, 'var1': 11, 'var2': 30, 'var3': 0}, {'perk': 8014, 'var1': 443, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8446, 'var1': 977, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 679, 'var2': 0, 'var3': 0}], 'style': 8400}]}",71978,15757,10291,0,DUO,0,62,35,35,8,False,MIDDLE,5,1601,138131,19898,0,20271,4849,0,214,42,181,1,0,1907,0,949,1,1,11,0,22,3,3,11,False
Zeri,3,0,0,2,3730,4087,3730,9913,4,2,1,0,False,True,False,False,False,False,14884,14450,BOTTOM,0,0,1,20,2,12,BOTTOM,632,5,2,552,130558,18111,7857,7,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 2985, 'var2': 2393, 'var3': 0}, {'perk': 8009, 'var1': 1894, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 11, 'var2': 30, 'var3': 0}, {'perk': 8014, 'var1': 735, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 17, 'var2': 30, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}]}",42369,5873,9092,0,SOLO,0,409,65,39,6,False,BOTTOM,9,1601,177999,24466,0,17433,3786,0,249,106,96,1,0,5071,481,483,1,1,11,0,24,2,6,10,False
Rakan,13,0,0,13,170,240,170,14176,3,10,0,0,True,False,False,False,False,False,7294,6900,UTILITY,0,0,1,28,0,1,TOP,0,0,1,800,7114,3152,9637,0,0,1,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 49, 'var2': 157, 'var3': 0}, {'perk': 8306, 'var1': 2, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 563, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8242, 'var1': 34, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 961, 'var2': 0, 'var3': 0}], 'style': 8400}]}",3331,763,8161,0,SUPPORT,0,29,46,71,7,False,UTILITY,27,1601,18778,4637,1890,18264,4779,1250,37,129,87,3,0,8332,722,464,0,0,11,0,79,10,15,38,False
