championName,assists,baronKills,bountyLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Illaoi,3,0,5,0,4305,4305,4305,10948,3,0,1,0,False,False,False,False,False,True,9071,8300,TOP,0,0,0,14,2,8,NONE,0,5,2,338,768,619,7005,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8437, 'var1': 809, 'var2': 454, 'var3': 0}, {'perk': 8446, 'var1': 2025, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 1274, 'var2': 0, 'var3': 0}, {'perk': 8451, 'var1': 170, 'var2': 0, 'var3': 0}], 'style': 8400}, {'description': 'subStyle', 'selections': [{'perk': 8299, 'var1': 980, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1674, 'var2': 0, 'var3': 0}], 'style': 8000}]}",87154,9377,8074,0,SUPPORT,0,57,88,25,4,False,TOP,9,1094,88706,10272,0,15512,3501,0,123,902,58,1,0,783,275,432,1,1,1,0,8,0,0,5,True
Nocturne,4,0,2,2,409,23803,409,10398,2,1,2,1,False,False,False,False,False,True,7643,7225,JUNGLE,0,0,0,16,3,7,NONE,0,3,2,660,578,498,4247,92,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 21, 'var2': 2, 'var3': 0}, {'perk': 9111, 'var1': 757, 'var2': 220, 'var3': 0}, {'perk': 9104, 'var1': 13, 'var2': 10, 'var3': 0}, {'perk': 8014, 'var1': 313, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}]}",87519,6918,13098,0,SUPPORT,0,66,11,11,10,False,JUNGLE,83,1094,111464,7883,0,17667,10008,0,1,279,51,1,0,23365,466,321,1,1,1,0,9,1,0,1,True
Lux,7,0,2,2,3081,4315,3081,4116,1,2,0,0,False,False,False,False,False,True,7988,7600,MIDDLE,0,0,0,18,1,3,NONE,241,2,1,654,62764,4232,2928,2,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 1054, 'var2': 803, 'var3': 0}, {'perk': 8009, 'var1': 1083, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 14, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 104, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8236, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 8, 'var3': 0}], 'style': 8200}]}",28259,2133,3681,0,DUO,0,21,9,66,7,False,MIDDLE,18,1094,91023,6365,203,6841,1403,0,151,165,30,1,0,0,0,231,0,1,1,0,17,2,1,7,True
Ashe,11,0,0,2,1948,5316,1948,4388,4,0,0,1,False,False,False,False,False,True,7378,6283,BOTTOM,0,0,0,14,1,3,NONE,150,3,1,353,3520,1295,3642,10,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 7, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1117, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 16, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 128, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",59020,7089,5596,0,SUPPORT,0,25,65,11,6,False,BOTTOM,29,1094,73916,8449,0,9559,1130,0,99,491,71,1,0,11375,63,320,1,1,1,0,8,0,1,3,True
Sona,12,0,0,5,1286,1286,1286,3318,2,2,2,0,False,False,False,False,False,True,6919,6600,UTILITY,0,0,0,18,1,5,NONE,0,4,2,614,17772,9475,1871,0,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 556, 'var2': 818, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 555, 'var3': 0}, {'perk': 8210, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8236, 'var1': 8, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 2420, 'var2': 0, 'var3': 0}, {'perk': 8017, 'var1': 291, 'var2': 0, 'var3': 0}], 'style': 8000}]}",4729,2180,4733,0,SUPPORT,0,70,54,74,5,False,UTILITY,11,1094,22502,11656,1349,6715,4304,2638,16,28,37,5,0,0,0,110,0,2,1,0,48,3,4,19,True
Ivern,0,0,0,2,2017,2017,2017,19679,7,0,0,0,False,False,False,False,False,True,6084,5850,TOP,0,0,0,14,0,3,NONE,0,0,1,277,40878,7574,1193,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8005, 'var1': 1546, 'var2': 1049, 'var3': 497}, {'perk': 8009, 'var1': 919, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 410, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8126, 'var1': 312, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 1, 'var2': 0, 'var3': 0}], 'style': 8100}]}",16920,5090,11051,0,SUPPORT,0,27,41,61,92,False,TOP,25,1094,58111,12977,1238,12394,0,0,94,301,150,0,0,312,312,149,0,0,4,0,6,0,0,3,False
JarvanIV,4,0,0,2,0,2756,0,14721,4,1,1,0,False,False,False,False,False,True,6218,5675,JUNGLE,0,0,0,10,1,3,NONE,0,2,2,531,5858,714,4987,85,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 153, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 279, 'var2': 140, 'var3': 0}, {'perk': 9104, 'var1': 12, 'var2': 50, 'var3': 0}, {'perk': 8014, 'var1': 172, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8105, 'var1': 13, 'var2': 5, 'var3': 0}, {'perk': 8143, 'var1': 184, 'var2': 0, 'var3': 0}], 'style': 8100}]}",61611,5908,11118,0,SUPPORT,0,55,51,43,6,False,JUNGLE,12,1094,85757,6796,0,16186,6721,0,4,308,97,1,0,18287,174,80,0,0,4,0,13,1,0,2,False
Sylas,3,0,0,6,795,1334,795,4164,3,4,0,0,False,False,False,False,False,True,6185,5300,MIDDLE,0,0,0,17,0,0,NONE,0,0,0,470,42104,4430,3370,1,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8369, 'var1': 257, 'var2': 292, 'var3': 0}, {'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}, {'perk': 8316, 'var1': 1950, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8446, 'var1': 485, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 303, 'var2': 0, 'var3': 0}], 'style': 8400}]}",7198,103,4557,0,SUPPORT,0,41,17,45,8,False,MIDDLE,6,1094,50486,4781,0,8035,195,0,135,180,74,1,0,1183,247,108,0,0,4,0,25,4,4,8,False
Lucian,4,0,0,3,722,1148,722,5850,6,0,0,0,True,False,False,False,False,True,7480,6800,BOTTOM,0,0,0,14,0,3,NONE,341,0,1,228,7911,3022,4573,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8369, 'var1': 279, 'var2': 238, 'var3': 0}, {'perk': 8304, 'var1': 9, 'var2': 4, 'var3': 5}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8226, 'var1': 250, 'var2': 336, 'var3': 0}, {'perk': 8237, 'var1': 349, 'var2': 0, 'var3': 0}], 'style': 8200}]}",59098,7998,8000,0,DUO,0,39,29,23,6,False,BOTTOM,0,1094,67266,11276,0,12816,0,0,136,0,95,0,0,256,256,241,0,0,4,0,12,0,2,6,False
Nami,5,0,0,5,637,637,637,4202,6,3,0,0,False,True,False,False,False,True,6071,5725,UTILITY,0,0,0,22,0,3,NONE,0,0,1,223,4058,2436,3216,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 284, 'var2': 1101, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 175, 'var3': 0}, {'perk': 8210, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 183, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",3278,434,5618,0,SUPPORT,0,15,43,39,6,False,UTILITY,18,1094,7763,3297,1180,9061,4211,3057,3,101,107,3,0,426,426,226,0,0,4,0,28,3,1,15,False
