championName,assists,baronKills,bountyLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Jayce,1,0,0,4,6391,6391,6391,12614,5,3,0,0,False,True,False,False,False,True,11747,11075,TOP,0,0,2,21,1,4,JUNGLE,0,2,1,850,13855,3052,6511,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 176, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1706, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 50, 'var3': 0}, {'perk': 8299, 'var1': 614, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 11, 'var2': 1, 'var3': 5}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",120522,15916,8299,0,NONE,0,103,74,63,111,False,TOP,8,1427,143880,19113,0,15633,1296,0,206,175,192,1,0,9502,144,821,2,4,9,0,21,3,4,7,False
KogMaw,3,0,0,1,0,7695,0,11087,10,0,0,1,False,False,False,False,False,True,6749,5300,JUNGLE,0,0,2,14,0,1,JUNGLE,0,0,1,258,37513,4196,7058,73,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 7, 'var2': 1, 'var3': 0}, {'perk': 9111, 'var1': 56, 'var2': 80, 'var3': 0}, {'perk': 9104, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 87, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8139, 'var1': 287, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 210, 'var2': 3, 'var3': 0}], 'style': 8100}]}",28236,2168,15791,0,NONE,0,41,34,37,36,False,JUNGLE,5,1427,89099,8347,0,23692,6151,0,15,291,228,1,0,23348,1983,841,0,0,9,0,14,0,5,3,False
Ahri,1,0,0,0,4881,5066,4881,8668,5,0,0,0,False,False,False,False,False,True,10161,8950,MIDDLE,0,0,2,18,0,3,TOP,248,0,1,441,100576,7910,11820,4,0,0,0,0,0,"{'statPerks': {'defense': 5001, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 1154, 'var2': 1023, 'var3': 0}, {'perk': 8009, 'var1': 1094, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 19, 'var2': 50, 'var3': 0}, {'perk': 8299, 'var1': 326, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 13, 'var2': 40, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}]}",26569,3105,6175,0,SOLO,0,40,96,24,20,False,MIDDLE,28,1427,137418,11699,0,18496,3393,0,201,97,164,1,0,10271,683,500,3,4,9,0,13,0,1,7,False
Kaisa,1,0,0,1,2399,3374,2399,8429,3,0,0,0,False,False,False,False,False,True,9432,9350,BOTTOM,0,0,2,23,0,1,BOTTOM,310,0,1,897,64331,3341,3754,15,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 12, 'var2': 1, 'var3': 0}, {'perk': 9111, 'var1': 103, 'var2': 40, 'var3': 0}, {'perk': 9104, 'var1': 21, 'var2': 40, 'var3': 0}, {'perk': 8299, 'var1': 252, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 15, 'var2': 40, 'var3': 0}, {'perk': 8236, 'var1': 14, 'var2': 0, 'var3': 0}], 'style': 8200}]}",86341,4986,8466,0,CARRY,0,64,23,108,3,False,BOTTOM,2,1427,151346,8544,0,12575,1523,0,218,55,99,1,0,674,216,354,0,2,9,0,10,0,0,7,False
Sona,4,0,0,2,616,1666,616,11517,7,0,0,0,False,False,False,False,False,True,5937,4950,UTILITY,0,0,2,15,1,2,BOTTOM,0,2,1,288,11216,5960,9133,0,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 383, 'var2': 1914, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 728, 'var3': 0}, {'perk': 8234, 'var1': 8859, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 511, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8313, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",4259,1330,9965,0,SUPPORT,0,65,72,69,5,False,UTILITY,11,1427,15476,7291,3257,20041,11098,4275,8,22,127,5,0,0,0,943,1,1,9,0,53,0,5,30,False
Camille,2,1,5,4,5247,11657,5247,15511,3,1,1,0,False,False,False,False,False,True,11083,10883,TOP,1,1,0,21,3,9,TOP,0,5,2,463,303,303,4321,12,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 148, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 819, 'var2': 220, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 40, 'var3': 0}, {'perk': 8299, 'var1': 248, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8401, 'var1': 366, 'var2': 0, 'var3': 0}, {'perk': 8444, 'var1': 991, 'var2': 0, 'var3': 0}], 'style': 8400}]}",86095,8563,13894,0,SOLO,0,154,41,80,4,False,TOP,15,1427,107220,11122,0,19150,5375,0,154,211,77,1,0,20822,2254,934,2,2,4,0,14,1,1,9,True
Kindred,8,0,0,5,5429,47975,5429,19299,3,4,0,1,False,False,False,True,False,True,12836,12683,JUNGLE,1,1,0,22,2,8,JUNGLE,300,5,1,969,37823,4159,7019,139,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 168, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 956, 'var2': 320, 'var3': 0}, {'perk': 9104, 'var1': 12, 'var2': 30, 'var3': 0}, {'perk': 8299, 'var1': 673, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 9, 'var2': 4, 'var3': 5}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]}",136720,13965,13432,0,NONE,0,189,59,43,3,False,JUNGLE,9,1427,215956,18978,0,21200,11634,1903,29,358,114,10,0,41410,853,748,4,4,4,0,31,4,4,6,True
Azir,8,0,3,7,6147,6147,6147,10174,2,3,0,0,False,False,True,False,False,True,12494,11975,MIDDLE,0,1,0,26,3,8,MIDDLE,0,3,1,599,131047,27209,5796,0,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 290, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 3730, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 14, 'var2': 10, 'var3': 0}, {'perk': 8299, 'var1': 761, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",5135,374,9964,0,SOLO,0,65,145,8,6,False,MIDDLE,10,1427,138678,27583,0,16119,2953,0,213,149,69,1,0,2495,0,358,1,4,4,0,30,5,3,11,True
Ashe,9,0,1,4,4983,4983,4983,3708,2,0,0,0,False,False,False,False,False,True,9843,7933,BOTTOM,0,2,0,18,0,2,BOTTOM,237,0,1,907,1238,713,4928,0,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 19, 'var2': 2, 'var3': 0}, {'perk': 8009, 'var1': 1357, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 21, 'var2': 40, 'var3': 0}, {'perk': 8017, 'var1': 200, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 16, 'var2': 10, 'var3': 0}, {'perk': 8236, 'var1': 14, 'var2': 0, 'var3': 0}], 'style': 8200}]}",87891,11520,4011,0,CARRY,0,11,64,11,6,False,BOTTOM,30,1427,96541,12350,0,9260,1628,0,177,519,46,1,0,7411,116,320,2,4,4,0,11,0,1,4,True
Nautilus,10,0,2,3,0,461,0,16024,1,1,0,0,False,False,False,False,False,True,7038,6775,UTILITY,0,0,0,18,1,3,BOTTOM,0,2,1,273,4422,3414,4467,0,0,0,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 50, 'var2': 1040, 'var3': 0}, {'perk': 8306, 'var1': 1, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 453, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 578, 'var2': 0, 'var3': 0}, {'perk': 8463, 'var1': 636, 'var2': 0, 'var3': 0}], 'style': 8400}]}",5840,1648,4962,0,SUPPORT,0,58,31,19,7,False,UTILITY,40,1427,19273,5291,0,10086,2788,380,23,198,10,4,0,9010,228,656,0,0,4,0,51,1,1,29,True
