championName,assists,baronKills,bountyLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
Irelia,7,0,0,1,1264,1264,1264,47675,13,0,1,0,False,False,False,False,False,False,13284,12800,TOP,0,0,3,24,1,4,TOP,0,3,2,294,30403,8584,14217,8,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 925, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1980, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 50, 'var3': 0}, {'perk': 8299, 'var1': 1335, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8451, 'var1': 222, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 60, 'var2': 13, 'var3': 13}], 'style': 8400}]}",122100,15332,22343,0,SOLO,0,263,28,56,7,False,TOP,20,1836,156034,24991,0,40783,11132,0,219,116,405,1,0,3530,1073,4222,1,1,11,0,14,0,0,6,False
Khazix,5,0,0,6,59,28587,59,18240,7,3,0,2,False,False,False,False,False,False,13240,12625,JUNGLE,0,0,3,23,2,9,JUNGLE,0,5,1,545,733,733,10331,120,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8369, 'var1': 658, 'var2': 594, 'var3': 0}, {'perk': 8304, 'var1': 8, 'var2': 1, 'var3': 5}, {'perk': 8321, 'var1': 5, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8143, 'var1': 449, 'var2': 0, 'var3': 0}, {'perk': 8136, 'var1': 4, 'var2': 8, 'var3': 0}], 'style': 8100}]}",161491,11785,19464,0,NONE,0,163,105,54,28,False,JUNGLE,12,1836,194499,13894,0,30960,13414,0,38,459,202,1,0,32273,1374,1164,0,0,11,0,25,3,4,9,False
Jayce,12,0,0,3,5525,5525,5525,30820,14,0,0,0,False,False,False,False,False,False,12123,11700,MIDDLE,0,0,3,29,0,1,MIDDLE,0,0,1,324,26777,6829,14040,8,0,1,0,0,0,"{'statPerks': {'defense': 5003, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8230, 'var1': 21, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 1224, 'var3': 0}, {'perk': 8210, 'var1': 12, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 636, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",156286,19251,15031,0,SOLO,0,144,112,115,150,False,MIDDLE,20,1836,193106,26843,0,30151,1697,0,234,224,430,1,0,10042,762,1078,1,1,11,0,7,0,2,4,False
Karthus,11,0,1,2,1313,2159,1313,13139,10,0,1,0,False,False,False,True,False,False,14518,13750,BOTTOM,0,0,3,20,2,8,BOTTOM,0,3,2,410,182966,37244,9726,4,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8128, 'var1': 2059, 'var2': 19, 'var3': 0}, {'perk': 8126, 'var1': 700, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8106, 'var1': 5, 'var2': 0, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8009, 'var1': 3783, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 2536, 'var2': 0, 'var3': 0}], 'style': 8000}]}",4643,445,11836,0,CARRY,0,337,25,140,8,False,BOTTOM,21,1836,190287,40218,0,22870,571,0,233,218,334,1,0,2677,2528,1308,2,2,11,0,10,0,1,6,False
Senna,16,0,0,9,1740,1740,1740,11864,13,6,1,0,False,False,True,False,False,False,11409,10300,UTILITY,0,0,3,28,1,6,BOTTOM,474,2,2,415,1056,202,11589,0,0,1,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 1555, 'var2': 1265, 'var3': 0}, {'perk': 8009, 'var1': 2065, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 30, 'var3': 0}, {'perk': 8017, 'var1': 1527, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8410, 'var1': 80, 'var2': 0, 'var3': 0}], 'style': 8300}]}",57037,14761,11729,0,SUPPORT,0,74,33,27,8,False,UTILITY,32,1836,58784,15632,515,24540,10941,3620,41,241,324,4,0,690,668,1221,0,2,11,0,78,6,9,33,False
Malphite,10,0,0,3,3250,7239,3250,72602,4,1,0,0,False,False,False,False,False,False,13877,13325,TOP,0,0,0,18,3,9,TOP,0,4,1,632,77451,13635,8423,12,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 871, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 897, 'var3': 0}, {'perk': 8210, 'var1': 15, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 570, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8444, 'var1': 1621, 'var2': 0, 'var3': 0}, {'perk': 8242, 'var1': 57, 'var2': 0, 'var3': 0}], 'style': 8400}]}",54899,7992,16054,0,SOLO,0,51,89,77,9,False,TOP,28,1836,135182,21916,0,24977,2710,0,171,642,121,1,0,2831,288,499,1,2,4,0,22,1,1,11,True
Belveth,12,1,11,6,4748,53379,4748,45035,8,5,6,2,True,False,False,False,False,False,20898,14875,JUNGLE,1,2,0,25,4,27,JUNGLE,896,11,3,539,13668,3147,16925,136,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5008}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 1675, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 3447, 'var2': 780, 'var3': 0}, {'perk': 9104, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8014, 'var1': 1366, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8138, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}]}",193229,32920,19107,0,NONE,0,399,49,56,27,False,JUNGLE,33,1836,247501,42820,0,39897,22136,0,56,396,178,1,2,40603,6752,3865,3,4,4,0,40,5,7,7,True
Leblanc,13,0,0,4,8206,9943,8206,18044,6,3,0,0,False,False,False,False,False,False,15119,14025,MIDDLE,2,3,0,28,3,9,MIDDLE,314,3,1,801,138915,21809,12259,0,1,0,1,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 5279, 'var2': 4194, 'var3': 0}, {'perk': 8009, 'var1': 3580, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 17, 'var2': 20, 'var3': 0}, {'perk': 8014, 'var1': 532, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8234, 'var1': 8727, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 714, 'var2': 0, 'var3': 0}], 'style': 8200}]}",33717,6391,20125,0,SOLO,0,97,131,31,21,False,MIDDLE,25,1836,179632,28755,0,32826,8984,0,214,70,255,1,0,6999,554,441,4,5,4,0,15,3,2,4,True
Kaisa,11,0,0,3,3441,22408,3441,12088,5,2,1,0,False,True,False,False,False,False,16118,15250,BOTTOM,0,2,0,26,2,10,BOTTOM,246,6,2,1175,116312,15313,8858,12,0,0,0,0,0,"{'statPerks': {'defense': 5002, 'flex': 5008, 'offense': 5005}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 9923, 'var1': 45, 'var2': 75, 'var3': 0}, {'perk': 8139, 'var1': 892, 'var2': 0, 'var3': 0}, {'perk': 8138, 'var1': 30, 'var2': 0, 'var3': 0}, {'perk': 8135, 'var1': 450, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8304, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 0}], 'style': 8300}]}",74465,8903,10767,0,CARRY,0,66,40,89,6,False,BOTTOM,1,1836,194239,24351,0,19852,3877,281,225,23,221,2,0,3461,135,226,2,2,4,0,31,2,5,10,True
Blitzcrank,18,1,0,6,777,2498,777,19000,5,4,0,0,True,False,False,False,False,False,9047,7700,UTILITY,0,2,0,24,1,2,BOTTOM,0,2,1,612,5545,2588,9841,4,0,0,1,0,0,"{'statPerks': {'defense': 5003, 'flex': 5002, 'offense': 5007}, 'styles': [{'description': 'primaryStyle', 'selections': [{'perk': 8351, 'var1': 38, 'var2': 541, 'var3': 0}, {'perk': 8306, 'var1': 4, 'var2': 0, 'var3': 0}, {'perk': 8316, 'var1': 327, 'var2': 0, 'var3': 0}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}, {'description': 'subStyle', 'selections': [{'perk': 8242, 'var1': 58, 'var2': 0, 'var3': 0}, {'perk': 8429, 'var1': 60, 'var2': 15, 'var3': 11}], 'style': 8400}]}",3597,1263,7834,0,SUPPORT,0,23,43,30,6,False,UTILITY,25,1836,16026,4321,1694,18347,1827,0,24,243,134,1,0,6883,470,670,0,4,4,0,52,4,3,21,True
